Team,Phase of Play,Action,Quarter,Lane,Zone,Count
home,defensive transition,pass intercepted/fouled,first,2,1,1
home,defensive transition,pass intercepted/fouled,first,3,1,0
home,defensive transition,pass intercepted/fouled,first,4,1,0
home,defensive transition,pass intercepted/fouled,first,5,1,0
home,defensive transition,pass intercepted/fouled,second,1,4,0
home,defensive transition,pass intercepted/fouled,second,2,4,0
home,defensive transition,pass intercepted/fouled,second,3,4,2
home,defensive transition,pass intercepted/fouled,second,4,4,0
home,defensive transition,pass intercepted/fouled,second,5,4,1
home,defensive transition,pass intercepted/fouled,second,1,3,1
home,defensive transition,pass intercepted/fouled,second,2,3,1
home,defensive transition,pass intercepted/fouled,second,3,3,1
home,defensive transition,pass intercepted/fouled,second,4,3,0
home,defensive transition,pass intercepted/fouled,second,5,3,1
home,defensive transition,pass intercepted/fouled,second,1,2,1
home,defensive transition,pass intercepted/fouled,second,2,2,0
home,defensive transition,pass intercepted/fouled,second,3,2,0
home,defensive transition,pass intercepted/fouled,second,4,2,0
home,defensive transition,pass intercepted/fouled,second,5,2,1
home,defensive transition,pass intercepted/fouled,second,1,1,0
home,defensive transition,pass intercepted/fouled,second,2,1,0
home,defensive transition,pass intercepted/fouled,second,3,1,0
home,defensive transition,pass intercepted/fouled,second,4,1,1
home,defensive transition,pass intercepted/fouled,second,5,1,0
home,defensive transition,pass intercepted/fouled,third,1,4,0
home,defensive transition,pass intercepted/fouled,third,2,4,0
home,defensive transition,pass intercepted/fouled,third,3,4,0
home,defensive transition,pass intercepted/fouled,third,4,4,0
home,defensive transition,pass intercepted/fouled,third,5,4,0
home,defensive transition,pass intercepted/fouled,third,1,3,0
home,defensive transition,pass intercepted/fouled,third,2,3,1
home,defensive transition,pass intercepted/fouled,third,3,3,0
home,defensive transition,pass intercepted/fouled,third,4,3,0
home,defensive transition,pass intercepted/fouled,third,5,3,0
home,defensive transition,pass intercepted/fouled,third,1,2,0
home,defensive transition,pass intercepted/fouled,third,2,2,1
home,defensive transition,pass intercepted/fouled,third,3,2,2
home,defensive transition,pass intercepted/fouled,third,4,2,0
home,defensive transition,pass intercepted/fouled,third,5,2,0
home,defensive transition,pass intercepted/fouled,third,1,1,1
home,defensive transition,pass intercepted/fouled,third,2,1,1
home,defensive transition,pass intercepted/fouled,third,3,1,1
home,defensive transition,pass intercepted/fouled,third,4,1,1
home,defensive transition,pass intercepted/fouled,third,5,1,1
home,defensive transition,pass intercepted/fouled,fourth,1,4,0
