Team,Phase of Play,Action,Quarter,Lane,Zone,Count
away,defensive transition,pass intercepted/fouled,third,1,4,0
away,defensive transition,pass intercepted/fouled,third,2,4,0
away,defensive transition,pass intercepted/fouled,third,3,4,1
away,defensive transition,pass intercepted/fouled,third,4,4,1
away,defensive transition,pass intercepted/fouled,third,5,4,0
away,defensive transition,pass intercepted/fouled,third,1,3,2
away,defensive transition,pass intercepted/fouled,third,2,3,0
away,defensive transition,pass intercepted/fouled,third,3,3,0
away,defensive transition,pass intercepted/fouled,third,4,3,0
away,defensive transition,pass intercepted/fouled,third,5,3,1
away,defensive transition,pass intercepted/fouled,third,1,2,0
away,defensive transition,pass intercepted/fouled,third,2,2,0
away,defensive transition,pass intercepted/fouled,third,3,2,0
away,defensive transition,pass intercepted/fouled,third,4,2,0
away,defensive transition,pass intercepted/fouled,third,5,2,2
away,defensive transition,pass intercepted/fouled,third,1,1,0
away,defensive transition,pass intercepted/fouled,third,2,1,0
away,defensive transition,pass intercepted/fouled,third,3,1,0
away,defensive transition,pass intercepted/fouled,third,4,1,0
away,defensive transition,pass intercepted/fouled,third,5,1,0
away,defensive transition,pass intercepted/fouled,fourth,1,4,0
away,defensive transition,pass intercepted/fouled,fourth,2,4,1
away,defensive transition,pass intercepted/fouled,fourth,3,4,0
away,defensive transition,pass intercepted/fouled,fourth,4,4,0
away,defensive transition,pass intercepted/fouled,fourth,5,4,0
away,defensive transition,pass intercepted/fouled,fourth,1,3,0
away,defensive transition,pass intercepted/fouled,fourth,2,3,0
away,defensive transition,pass intercepted/fouled,fourth,3,3,0
away,defensive transition,pass intercepted/fouled,fourth,4,3,1
away,defensive transition,pass intercepted/fouled,fourth,5,3,0
away,defensive transition,pass intercepted/fouled,fourth,1,2,0
away,defensive transition,pass intercepted/fouled,fourth,2,2,1
away,defensive transition,pass intercepted/fouled,fourth,3,2,0
away,defensive transition,pass intercepted/fouled,fourth,4,2,0
away,defensive transition,pass intercepted/fouled,fourth,5,2,2
away,defensive transition,pass intercepted/fouled,fourth,1,1,0
away,defensive transition,pass intercepted/fouled,fourth,2,1,0
away,defensive transition,pass intercepted/fouled,fourth,3,1,0
away,defensive transition,pass intercepted/fouled,fourth,4,1,0
away,defensive transition,pass intercepted/fouled,fourth,5,1,0
